2023-04-12 07:52:39 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7 <none>
2023-04-12 07:52:39 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2023-04-12 07:52:39 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2023-04-12 07:52:39 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u7
2023-04-12 07:52:39 configure ca-certificates:all 20200601~deb10u2 <none>
2023-04-12 07:52:39 status unpacked ca-certificates:all 20200601~deb10u2
2023-04-12 07:52:39 status half-configured ca-certificates:all 20200601~deb10u2
2023-04-12 07:52:40 status installed ca-certificates:all 20200601~deb10u2
2023-04-12 07:52:40 status triggers-pending ca-certificates:all 20200601~deb10u2
2023-04-12 07:52:40 configure libgssapi-krb5-2:amd64 1.17-3+deb10u5 <none>
2023-04-12 07:52:40 status unpacked libgssapi-krb5-2:amd64 1.17-3+deb10u5
2023-04-12 07:52:40 status half-configured libgssapi-krb5-2:amd64 1.17-3+deb10u5
2023-04-12 07:52:40 status installed libgssapi-krb5-2:amd64 1.17-3+deb10u5
2023-04-12 07:52:40 configure libcurl4:amd64 7.64.0-4+deb10u5 <none>
2023-04-12 07:52:40 status unpacked libcurl4:amd64 7.64.0-4+deb10u5
2023-04-12 07:52:40 status half-configured libcurl4:amd64 7.64.0-4+deb10u5
2023-04-12 07:52:40 status installed libcurl4:amd64 7.64.0-4+deb10u5
2023-04-12 07:52:40 configure curl:amd64 7.64.0-4+deb10u5 <none>
2023-04-12 07:52:40 status unpacked curl:amd64 7.64.0-4+deb10u5
2023-04-12 07:52:40 status half-configured curl:amd64 7.64.0-4+deb10u5
2023-04-12 07:52:40 status installed curl:amd64 7.64.0-4+deb10u5
2023-04-12 07:52:40 trigproc libc-bin:amd64 2.28-10+deb10u2 <none>
2023-04-12 07:52:40 status half-configured libc-bin:amd64 2.28-10+deb10u2
2023-04-12 07:52:40 status installed libc-bin:amd64 2.28-10+deb10u2
2023-04-12 07:52:40 trigproc ca-certificates:all 20200601~deb10u2 <none>
2023-04-12 07:52:40 status half-configured ca-certificates:all 20200601~deb10u2
2023-04-12 07:52:40 status installed ca-certificates:all 20200601~deb10u2
2023-04-12 07:52:45 startup archives unpack
2023-04-12 07:52:45 install readline-common:all <none> 7.0-5
2023-04-12 07:52:45 status half-installed readline-common:all 7.0-5
2023-04-12 07:52:45 status unpacked readline-common:all 7.0-5
2023-04-12 07:52:45 install libsqlite3-0:amd64 <none> 3.27.2-3+deb10u2
2023-04-12 07:52:45 status triggers-pending libc-bin:amd64 2.28-10+deb10u2
2023-04-12 07:52:45 status half-installed libsqlite3-0:amd64 3.27.2-3+deb10u2
2023-04-12 07:52:45 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u2
2023-04-12 07:52:45 install libassuan0:amd64 <none> 2.5.2-1
2023-04-12 07:52:45 status half-installed libassuan0:amd64 2.5.2-1
2023-04-12 07:52:45 status unpacked libassuan0:amd64 2.5.2-1
2023-04-12 07:52:45 install libreadline7:amd64 <none> 7.0-5
2023-04-12 07:52:45 status half-installed libreadline7:amd64 7.0-5
2023-04-12 07:52:45 status unpacked libreadline7:amd64 7.0-5
